,distance,times,f_bl,lat,lon,mag,summ
2433,0.0000506,0.000000456,0.0000000000231,53.791,161.594,5.535,-10.6371302184944
2280,0.00313580329266976,0.0000000326,0.000000000102,53.885,161.699,5.11,-9.99084355689924
2110,0.00436292797623179,0.0000000292,0.000000000127,52.132,159.529,5.8,-9.89511118631988
1707,0.013712478743257,0.000000011,0.00000000015,55.124,162.458,4.94,-9.82257983345236
2358,0.00273817308388378,0.0000000917,0.000000000251,53.972,161.909,6.1,-9.60006275827831
214,0.0556844668046741,0.00000000454,0.000000000253,51.1589,160.8833,5.195,-9.59749530494399
2251,0.0317114830482056,0.00000000836,0.000000000265,53.926,161.791,5.025,-9.5766533859943
2463,0.11558228967385,0.00000000268,0.000000000309,53.918,161.922,5.11,-9.50975944256056
1638,0.0244247453363654,0.000000013,0.000000000318,52.871,160.105,5.8,-9.49690719576013
310,0.15378666256672,0.00000000228,0.00000000035,54.6432,163.1002,5.11,-9.45548711457039
1956,0.0472881259614526,0.00000000744,0.000000000352,52.631,160.214,6.4,-9.45373343762045
1242,0.141444230856007,0.00000000261,0.000000000369,52.99,159.794,5.6,-9.43297033964985
1099,0.219522351928413,0.00000000172,0.000000000377,52.34,160.065,6.1,-9.42313865453914
1693,0.0255609217930165,0.0000000149,0.000000000381,52.293,159.61,5.025,-9.41855638302586
2695,0.115471912133068,0.00000000358,0.000000000414,53.991,159.264,5.195,-9.38332845457423
1067,0.00194137704037013,0.000000223,0.000000000433,52.174,160.345,4.855,-9.36337176887301
1074,0.0162794996535406,0.000000029,0.000000000472,52.355,160.006,5.28,-9.3258879972542
565,0.043926318473375,0.0000000108,0.000000000476,55.3439,164.5099,6.1,-9.32210132052104
1088,0.0126206001828325,0.0000000399,0.000000000504,52.2,160.304,4.77,-9.29744536637578
2111,0.0130973373829966,0.0000000428,0.000000000561,52.132,159.529,5.8,-9.25133968818619
2435,0.399314957320673,0.00000000141,0.000000000563,53.955,161.474,5.28,-9.24946549348347
2217,0.424953676868747,0.00000000151,0.000000000643,53.922,161.776,5.2,-9.19148289878843
2441,0.00627477460050898,0.000000108,0.000000000681,53.792,161.596,5.705,-9.16705793615706
2397,0.0849312095899271,0.00000000826,0.000000000701,53.734,161.57,5.8,-9.15408377235486
1100,0.0770178622950265,0.00000000925,0.000000000712,52.218,160.181,5.195,-9.14735882865771
2700,0.0215568995331302,0.0000000333,0.000000000719,53.974,159.296,5.3,-9.14334427535563
1944,1.35570086324336,0.000000000582,0.000000000788,52.549,160.563,4.77,-9.10328272336621
2176,0.272275266119224,0.00000000291,0.000000000794,52.348,159.578,5.535,-9.10043542369883
2257,0.0294152562744153,0.0000000274,0.000000000806,55.257,161.954,4.77,-9.09373910375382
1086,0.0433250917304222,0.0000000186,0.000000000807,52.26,160.22,5.28,-9.09309828367351
2424,0.0254134701879023,0.0000000326,0.000000000829,53.748,161.732,5.025,-9.08145718596964
1064,0.0278988939311124,0.0000000309,0.000000000862,52.17,160.288,4.77,-9.06437011310489
2302,0.953472453768466,0.000000000914,0.000000000871,54.658,162.882,6.2,-9.05995090074707
1711,0.0602565239370432,0.0000000155,0.000000000932,55.161,162.592,4.855,-9.03052565618556
1712,0.000289063314446848,0.00000328,0.000000000947,55.029,162.609,4.855,-9.02378863177149
1149,0.033190275163764,0.0000000289,0.000000000958,50.958,157.408,6.5,-9.01858646167054
2431,0.187179783229139,0.00000000518,0.00000000097,54,161.64,4.94,-9.01314036781445
2444,0.0368345430349124,0.0000000265,0.000000000976,54.12,161.438,5.025,-9.01072198318051
2508,0.182642411846981,0.00000000537,0.000000000981,54.005,161.411,5.195,-9.00837096780623
1090,0.00780256814072694,0.00000013,0.00000000101,52.245,160.279,5.11,-8.99465368432451
1714,0.00569779446266857,0.000000188,0.00000000107,55.028,162.613,4.77,-8.96954134454652
2285,0.00397321140293467,0.00000028,0.00000000111,53.841,161.771,5.4,-8.9540550346766
1083,0.0261924088912721,0.0000000445,0.00000000117,52.33,160.12,5.025,-8.93350966291842
1103,0.0945974973696477,0.000000013,0.00000000123,52.319,160.308,5.195,-8.91118011113463
814,0.00596809175006811,0.000000209,0.00000000125,56.212,164.3444,4.855,-8.90323456631486
1043,0.110869487829367,0.0000000117,0.0000000013,52.319,160.315,5.62,-8.88548765049252
1960,0.000291358504086399,0.00000473,0.00000000138,52.591,160.324,6.5,-8.86060582596392
2479,0.0200264520752827,0.0000000718,0.00000000144,53.857,161.618,5.11,-8.8419731791173
1098,0.00376000480955053,0.000000412,0.00000000155,52.346,160.077,4.94,-8.80990719919186
2448,0.00424441148616908,0.000000369,0.00000000157,53.955,161.474,5.28,-8.80490917501738
2437,0.0032113399698848,0.000000491,0.00000000158,53.748,161.732,5.025,-8.80215962742582
1087,0.0778381407937443,0.0000000209,0.00000000163,52.245,160.279,5.11,-8.78771923434371
1094,0.0268794005723783,0.0000000608,0.00000000164,52.26,160.281,5.28,-8.78640221177815
1049,0.0485558430936408,0.0000000367,0.00000000178,52.338,160.199,5.4,-8.74944422385974
66,0.00270968452691818,0.000000665,0.0000000018,52.8622,160.1796,5.45,-8.74441834821515
2390,0.202633961302864,0.00000000894,0.00000000181,53.875,161.488,4.94,-8.74202324807763
1080,0.262829557277525,0.00000000695,0.00000000183,52.308,160.066,5.28,-8.73831123678261
1430,0.0745665983444084,0.0000000247,0.00000000184,51.584,159.277,4.855,-8.73436470143228
1482,0.0739436717746138,0.000000025,0.00000000185,51.764,159.321,4.77,-8.73389496595217
1096,0.0441846625825887,0.0000000419,0.00000000185,52.277,160.18,5.28,-8.73277342057514
1275,0.0896907554389029,0.0000000209,0.00000000188,52.753,160.743,5.2,-8.72646661667055
65,0.207791303817436,0.00000000926,0.00000000192,53.0144,160.0188,5.365,-8.71569082926318
1114,0.00693079834452772,0.000000291,0.00000000201,52.247,160.338,5.025,-8.69595599708373
1102,0.000350611174585021,0.0000059,0.00000000207,52.319,160.315,5.62,-8.68428013987601
1319,0.0120795456211556,0.000000172,0.00000000207,52.498,159.843,6.3,-8.68329842742329
2414,0.0155247170601574,0.000000135,0.00000000209,53.957,161.416,5.025,-8.67991001887774
2498,0.00108756538273766,0.00000195,0.00000000213,53.965,161.486,4.94,-8.67245956398796
2411,0.0143662942365298,0.000000149,0.00000000214,54.031,161.862,4.77,-8.67010211347789
1065,0.0485975581567107,0.0000000441,0.00000000214,52.192,160.301,4.855,-8.66858920014441
2656,0.346785743364719,0.00000000636,0.0000000022,51.583,159.272,5.365,-8.65671805860892
2401,0.00171529048998097,0.00000132,0.00000000226,53.938,161.438,4.77,-8.64597048210346
1318,0.0187385590625852,0.000000121,0.00000000226,52.495,159.888,5.4,-8.64521671457212
953,0.101909488563323,0.000000023,0.00000000234,54.7112,161.4104,4.77,-8.63027676851099
566,0.0394330508266507,0.0000000603,0.00000000238,55.3439,164.5099,6.1,-8.62414069516878
2170,0.0202957763175781,0.000000119,0.00000000241,52.196,159.674,5.025,-8.61853542746085
2513,0.687289909554113,0.0000000036,0.00000000247,54.139,161.506,5.365,-8.60665594839988
2427,0.028958429392812,0.0000000859,0.00000000249,53.977,161.848,5.11,-8.60408394252698
2407,0.578864516026384,0.00000000439,0.00000000254,54.094,161.76,5.025,-8.59513129664508
2434,0.551204698404329,0.00000000462,0.00000000255,53.792,161.596,5.705,-8.59413118804738
1036,0.0183379118827048,0.000000144,0.00000000265,52.345,160.239,4.855,-8.57682478112513
1101,0.140168659233293,0.000000019,0.00000000266,52.34,160.065,6.1,-8.57434717225713
532,0.310294747730229,0.0000000086,0.00000000267,53.5014,161.6387,4.855,-8.57383490841449
583,0.684556990002035,0.00000000394,0.0000000027,54.8872,164.4482,5.025,-8.56854922077492
215,0.00945112284241822,0.000000287,0.00000000271,51.1555,160.9504,5.195,-8.56658014827563
1133,0.159029108857107,0.0000000173,0.00000000275,50.059,157.268,5.535,-8.56133891532179
2484,0.194926184944094,0.0000000142,0.00000000277,54.994,162.056,4.94,-8.55826380070301
2440,0.102931403830951,0.000000028,0.00000000288,54.84,162.826,4.94,-8.54015099866607
2355,0.00223549143107387,0.00000129,0.00000000289,53.98,161.92,5.535,-8.53864110291697
2466,0.726881110868206,0.00000000414,0.00000000301,54.094,161.878,5.45,-8.52192344601002
2518,0.0983546232958595,0.0000000317,0.00000000312,55.299,162.523,4.94,-8.50586605168436
369,0.453484714446638,0.00000000713,0.00000000323,56.3217,164.3414,5.025,-8.4901616829631
1769,0.188132829266478,0.0000000175,0.0000000033,52.398,159.514,4.94,-8.48159525539822
2509,0.0361045737829421,0.0000000951,0.00000000343,54.435,162.337,5.28,-8.46407918895685
1483,0.155925825140639,0.0000000222,0.00000000347,51.79,159.276,4.94,-8.45993919143179
1033,0.0468919769270037,0.0000000742,0.00000000348,52.281,160.072,6.1,-8.45845303617784
2659,0.00466223425238186,0.000000782,0.00000000364,51.544,159.584,5.535,-8.43834657668292
1042,0.806493019271183,0.00000000456,0.00000000368,52.319,160.315,5.62,-8.43470481957636
2443,0.00688907182643798,0.000000538,0.00000000371,53.977,161.848,5.11,-8.43098795516114
1092,0.105763591442907,0.0000000353,0.00000000373,52.26,160.281,5.28,-8.42818279565167
2515,0.155182899299746,0.0000000241,0.00000000374,53.979,161.564,5.195,-8.42763272165146
1690,0.0182301420089859,0.000000211,0.00000000384,52.315,159.563,5.6,-8.41517176060066
115,0.131856839802635,0.0000000292,0.00000000385,56.2361,163.8025,5.11,-8.41447072417099
2514,0.113455973354758,0.000000034,0.00000000385,54.439,162.276,5.62,-8.41409913877734
1073,0.272332738801796,0.0000000142,0.00000000387,52.355,160.006,5.28,-8.4121381199908
2532,0.138993205177434,0.0000000289,0.00000000402,55.221,162.619,5.5,-8.39592430818868
2290,0.125100522819544,0.0000000327,0.0000000041,53.878,161.328,5.28,-8.38761174684216
2521,0.00827469603680869,0.000000496,0.00000000411,55.378,162.383,4.94,-8.38652163936649
2378,0.000659166365277811,0.00000647,0.00000000426,53.85,161.96,5.28,-8.37019705504524
1814,0.115141269912477,0.0000000384,0.00000000443,52.207,160.716,5.6,-8.35399364273133
2417,0.775606465548936,0.00000000578,0.00000000449,53.897,161.856,5.025,-8.34809813725643
1909,0.163723688128507,0.0000000283,0.00000000463,51.49,159.453,5.195,-8.33454342933917
2250,1.24852873474134,0.00000000374,0.00000000466,54.068,161.624,4.94,-8.33120337421353
2457,0.588181494833759,0.00000000806,0.00000000474,54.452,162.115,5.195,-8.32419726945483
1045,0.0089244525129845,0.000000533,0.00000000475,52.354,160.515,5.11,-8.32307627668632
588,0.0938541962259776,0.0000000514,0.00000000483,54.9206,164.5792,5.195,-8.3163111194874
1030,0.197879431399136,0.0000000247,0.00000000488,52.215,160.138,5.025,-8.31132220280747
2490,0.307593858778839,0.000000016,0.00000000491,53.775,161.525,5.195,-8.30919225281972
2391,0.0456849937690824,0.00000011,0.00000000501,53.938,161.438,4.77,-8.30000199006618
1085,0.331965204582814,0.0000000151,0.00000000502,52.296,160.361,5.025,-8.29887482949155
2410,0.00295699860113474,0.00000174,0.00000000515,53.965,161.416,4.855,-8.2879092486697
2408,0.0540991126870886,0.0000000965,0.00000000522,53.881,161.761,5.45,-8.28217510846345
2394,0.460330114382474,0.0000000114,0.00000000526,53.987,161.717,4.77,-8.27872916693493
2234,0.0860162766463553,0.0000000615,0.00000000529,53.939,161.798,4.94,-8.2768071615711
2126,0.133660607408466,0.0000000415,0.00000000554,51.751,159.616,4.855,-8.25622272394468
2436,0.414201838903252,0.0000000134,0.00000000557,53.955,161.474,5.28,-8.25423509343863
2445,0.037070566859547,0.000000151,0.00000000559,54.84,162.826,4.94,-8.25264851888986
1081,0.0603556345148662,0.0000000926,0.00000000559,52.21,160.45,5.365,-8.25257875603855
2332,0.348166034881708,0.0000000161,0.0000000056,53.753,161.512,4.855,-8.25171638741034
1041,0.0314887914646356,0.00000018,0.00000000567,52.289,160.332,5.195,-8.24648376483766
1428,11.4304903466966,0.000000000499,0.0000000057,51.584,159.277,4.855,-8.2439596498823
412,0.153608836119971,0.0000000378,0.00000000581,58.7985,158.9122,5.195,-8.23559798717684
1107,0.00836163370008705,0.000000696,0.00000000582,52.34,160.065,6.1,-8.23541073724789
2507,0.0235981768644005,0.000000247,0.00000000583,53.976,161.396,5.365,-8.23464943070918
2356,0.218756661497937,0.0000000271,0.00000000592,53.972,161.909,6.1,-8.22768385945118
466,0.216005877458698,0.0000000275,0.00000000594,56.1632,164.1414,5.28,-8.22621319906626
595,0.192989244597409,0.0000000308,0.00000000595,55.726,161.9608,5.365,-8.22567614979493
309,0.059743491155451,0.0000001,0.000000006,54.6786,163.1311,5.025,-8.22159267220487
1705,0.0163750287172115,0.000000375,0.00000000614,55.11,162.599,4.855,-8.21173710071888
2453,0.0484014132194204,0.000000128,0.00000000619,53.965,161.486,4.94,-8.20814256362135
2456,0.0611921669832228,0.000000102,0.00000000623,54.414,162.108,4.94,-8.20526578878714
67,0.129072715925545,0.0000000488,0.0000000063,52.8657,160.1627,5.28,-8.20044457770835
2470,0.382745393525242,0.0000000166,0.00000000634,54.683,162.42,5.11,-8.19824293698988
586,0.00228192963516844,0.00000279,0.00000000638,54.9045,164.3986,5.11,-8.19537770643889
1095,0.0251582180775938,0.000000256,0.00000000644,52.26,160.22,5.28,-8.19094912801047
419,0.144105780797294,0.0000000449,0.00000000646,55.7335,162.0796,4.94,-8.18950721432638
2631,0.0337166206779672,0.000000192,0.00000000647,51.726,159.812,6.1,-8.18881593022514
2438,0.54479567420343,0.0000000121,0.0000000066,53.752,161.746,6.4,-8.18068121316701
1713,0.296490980394599,0.0000000223,0.0000000066,55.028,162.613,4.77,-8.1806569847549
2716,0.0071048693518662,0.00000093,0.00000000661,54.103,159.374,5.28,-8.17978309425489
2109,0.0254736427561106,0.000000262,0.00000000667,52.056,159.52,6.9,-8.17580440570791
1091,0.00127748418882958,0.00000535,0.00000000684,52.346,160.063,5.7,-8.16512034809506
1828,0.00113729090212608,0.00000606,0.00000000689,52.326,160.306,5.705,-8.16173592125246
2512,0.176975861347425,0.0000000392,0.00000000694,54.056,161.508,5.365,-8.15837955332928
2486,0.463311956375545,0.0000000152,0.00000000703,54.592,161.761,4.94,-8.15322144935829
2488,0.00659023096624855,0.00000108,0.0000000071,53.922,161.581,5.195,-8.1487944544111
2471,0.0924466216584837,0.0000000774,0.00000000716,54.683,162.42,5.11,-8.14520328222782
2527,0.00456403167509674,0.00000163,0.00000000745,55.281,162.444,5.5,-8.12775703683648
2432,0.430296385306758,0.0000000174,0.00000000748,54.017,161.75,4.77,-8.12582822568042
2284,0.0624004775662457,0.000000122,0.0000000076,53.87,161.819,5.025,-8.11894818192199
2499,0.0606593316768274,0.000000127,0.00000000771,53.976,161.396,5.365,-8.1128696790473
1105,0.0993492860090545,0.0000000778,0.00000000773,52.339,160.29,5.025,-8.11162769137404
18,0.139998939676175,0.0000000553,0.00000000775,55.3848,163.0711,4.855,-8.1109663581472
1017,0.329309818017103,0.0000000235,0.00000000775,52.237,160.243,5.025,-8.11094667196218
2422,0.060225058741518,0.00000013,0.00000000786,53.785,161.692,5.195,-8.104624286768
1317,1.2921249849402,0.0000000061,0.00000000788,52.455,160.091,4.94,-8.1033831884901
1029,0.0207419452580448,0.00000038,0.00000000788,52.194,160.15,4.94,-8.10334048168665
1127,0.18460928545777,0.000000043,0.00000000794,50.158,157.515,5.28,-8.10038544337152
1070,0.667693014861602,0.000000012,0.00000000801,52.116,160.238,5.11,-8.09636198577494
2418,0.437205062189616,0.0000000184,0.00000000806,53.867,161.619,4.77,-8.09377912584794
1047,0.000734801392870476,0.000011,0.0000000081,52.368,160.485,4.77,-8.09158815807622
1034,0.201916576990713,0.0000000408,0.00000000824,52.346,160.063,5.7,-8.08417823314081
2503,5.2189675096735,0.0000000016,0.00000000835,54.66,161.794,5.195,-8.07812652985222
2657,0.557229262150879,0.0000000151,0.00000000841,51.583,159.272,5.365,-8.0752665599605
1104,0.0162747354406261,0.000000523,0.00000000851,52.319,160.308,5.195,-8.07023544956007
1071,0.308887031762157,0.0000000278,0.00000000859,52.254,160.268,5.5,-8.06611596842753
2338,0.0315651202017989,0.000000272,0.00000000859,54.915,162.686,4.94,-8.06578569347987
2416,0.0655695676199289,0.000000132,0.00000000866,53.855,161.911,5.45,-8.06252929444339
2473,0.0110618848417042,0.000000786,0.00000000869,53.965,161.486,4.94,-8.06089021472884
1824,0.112387297586074,0.0000000779,0.00000000875,52.42,160.157,5.2,-8.05784378708474
1079,1.66562322179188,0.00000000546,0.0000000091,52.21,160.45,5.365,-8.04096580885032
2452,0.266110423586155,0.0000000349,0.00000000928,53.882,161.464,4.94,-8.03247648884355
1078,0.262431437098903,0.0000000359,0.00000000941,52.214,160.321,4.94,-8.02633043793169
2511,0.188481626731079,0.000000051,0.00000000961,53.874,161.383,5.365,-8.01719002818417
577,0.254357048363899,0.000000038,0.00000000968,55.3484,164.4075,5.195,-8.01428809646455
2533,0.0178613819109929,0.000000542,0.00000000968,55.221,162.619,5.5,-8.01414059643233
267,0.0356429667436209,0.000000274,0.00000000975,52.3876,160.6757,5.11,-8.01083182202185
2519,0.233353082814717,0.0000000422,0.00000000985,55.281,162.444,5.5,-8.00673473060658
2505,0.0863126410352397,0.000000117,0.0000000101,53.929,161.375,5.28,-7.99639754462738
1106,0.00719792479065776,0.0000014,0.0000000101,52.244,160.324,5.195,-7.99556569636896
1039,0.522801819992995,0.0000000196,0.0000000103,52.289,160.332,5.195,-7.98906940779133
2171,0.0844769483713008,0.000000121,0.0000000103,52.206,159.64,5.195,-7.98879471169871
1072,0.260007033212153,0.0000000401,0.0000000104,52.343,160.14,5.025,-7.98223672136318
2467,0.00724549004887272,0.00000147,0.0000000107,53.872,161.528,4.77,-7.97204851418484
1191,0.248890824288456,0.0000000432,0.0000000107,52.785,160.543,4.855,-7.96892200707984
1013,0.0170048563968988,0.000000646,0.000000011,52.552,160.692,4.77,-7.95901377233219
2405,0.954430003348759,0.0000000115,0.000000011,53.881,161.761,5.45,-7.95830274108305
1038,0.0857120407161504,0.000000132,0.0000000113,52.328,160.256,5.45,-7.94680504259466
303,0.207349910864929,0.0000000552,0.0000000114,54.8635,163.3884,5.1,-7.9414313311301
1833,0.00394546666283754,0.00000294,0.0000000116,52.334,160.308,4.94,-7.93575693221229
2663,0.0082705730466214,0.0000014,0.0000000116,51.586,159.509,5.9,-7.93529038538168
1112,0.00184761225185983,0.00000651,0.000000012,52.251,160.346,4.855,-7.91957967530392
1082,0.0120937720037134,0.00000101,0.0000000122,52.343,160.14,5.025,-7.91459322026484
2413,0.825950351146016,0.0000000151,0.0000000124,53.791,161.594,5.535,-7.90499553913011
2426,0.00477598654753679,0.00000263,0.0000000126,54.945,162.614,4.94,-7.90026856806971
568,0.0538346055219248,0.00000024,0.0000000129,54.6327,164.1354,4.855,-7.88880503192799
2666,0.00890733922878919,0.00000147,0.0000000131,51.586,159.509,5.9,-7.88383790639213
465,0.0335294244011042,0.000000393,0.0000000132,56.134,164.1796,5.365,-7.88006617607736
2145,1.6034826019681,0.00000000829,0.0000000133,53.889,161.625,5.45,-7.87641547165275
2477,0.00511303694977316,0.00000268,0.0000000137,53.867,161.619,4.77,-7.86365799978361
2710,0.0134413410825137,0.00000103,0.0000000138,53.85,159.337,5.195,-7.85923641239837
358,0.571496734976765,0.0000000243,0.0000000139,52.2126,160.1111,5.025,-7.85808304147184
2421,0.2545831166196,0.0000000571,0.0000000145,53.928,161.545,5.195,-7.83764337926481
1062,0.620334360415429,0.0000000238,0.0000000147,52.151,160.402,4.94,-7.83143491574096
2530,0.45760858436784,0.0000000324,0.0000000148,55.247,162.513,4.77,-7.82852816501286
2572,0.00348636844410334,0.00000427,0.0000000149,52.559,158.92,5.365,-7.82764975601951
2536,0.59935306853198,0.0000000253,0.0000000152,55.314,162.49,4.77,-7.81919608883122
2446,0.0626628156951814,0.000000243,0.0000000152,53.955,161.474,5.28,-7.81735124514025
1952,0.195668124636046,0.000000078,0.0000000153,52.621,160.641,4.94,-7.81621831921215
2430,0.043661076442085,0.000000351,0.0000000153,53.974,161.677,5.025,-7.81486985884593
2531,0.220600344845662,0.000000071,0.0000000157,55.247,162.513,4.77,-7.80496091985639
1052,0.358228730657221,0.0000000447,0.000000016,52.347,160.373,4.855,-7.79562056567843
2415,0.220987720758259,0.000000073,0.0000000161,53.855,161.911,5.45,-7.79252721622603
2451,0.295652092843669,0.0000000547,0.0000000162,53.965,161.486,4.94,-7.79126520755057
2665,0.00661820573026643,0.00000246,0.0000000163,51.69,159.199,5.45,-7.78860195111385
2311,2.96522300520854,0.00000000554,0.0000000164,54.554,162.332,4.855,-7.7843747435785
2281,0.703479887846758,0.0000000234,0.0000000165,53.892,161.71,4.77,-7.78311998601746
1295,0.09520175472917,0.000000176,0.0000000168,55.123,160.378,5.1,-7.77497734131474
2482,0.162973327674947,0.000000104,0.0000000169,53.842,161.586,5.28,-7.77175814837329
1077,0.0583454079305638,0.000000291,0.000000017,52.254,160.268,5.5,-7.77072124266226
1429,2.08246441137829,0.00000000822,0.0000000171,51.584,159.277,4.855,-7.76674518142048
501,0.132610873421017,0.00000013,0.0000000173,51.5595,159.9174,4.855,-7.76276613641561
1822,0.0180407921214465,0.00000097,0.0000000175,52.326,160.306,5.705,-7.75693570564464
2465,0.0684236701622284,0.000000263,0.000000018,54.066,161.833,4.855,-7.74502319030252
2379,0.21594541837814,0.0000000836,0.000000018,54.576,162.11,5.025,-7.74352594486866
1835,0.239040210003785,0.0000000762,0.0000000182,52.387,160.511,4.77,-7.73967453986943
2673,0.00357292516499247,0.0000051,0.0000000182,51.586,159.509,5.9,-7.73915528485852
2403,0.0113781911088969,0.00000164,0.0000000187,54.053,161.476,4.855,-7.72864033173771
2660,0.0744989670421028,0.000000258,0.0000000192,51.476,159.732,5.025,-7.71701975796796
1037,0.122932757295514,0.000000158,0.0000000194,52.368,160.567,4.94,-7.7128983790403
2496,0.533610898266574,0.0000000364,0.0000000194,53.976,161.396,5.365,-7.71114479399968
2419,0.286470521038414,0.0000000691,0.0000000198,53.867,161.619,4.77,-7.70364880860082
2494,0.00748140234592187,0.00000265,0.0000000198,53.977,161.421,5.11,-7.70293750244896
1108,0.00820390051769293,0.00000243,0.0000000199,52.218,160.181,5.195,-7.70104688471236
1838,0.0015135105908149,0.0000132,0.00000002,52.253,160.398,5.4,-7.6995876673256
951,0.0102515660699743,0.00000197,0.0000000202,50.5696,157.2948,5.11,-7.69379794029651
304,0.236940137714333,0.0000000861,0.0000000204,54.8051,163.3009,5.11,-7.69025066779896
2517,0.448036972095807,0.0000000463,0.0000000207,54.841,162.035,7.8,-7.68342205792287
2152,0.562811333179308,0.0000000378,0.0000000213,56.258,163.256,4.855,-7.6720714119557
2632,0.0564652791553502,0.000000379,0.0000000214,51.726,159.812,6.1,-7.67002567439839
1277,0.0441893025860793,0.000000484,0.0000000214,52.779,160.818,5.11,-7.67000222811235
1270,0.158076961115039,0.000000136,0.0000000215,52.815,160.713,5.11,-7.66673538059157
2308,0.119076335217557,0.000000182,0.0000000217,53.934,161.713,5.28,-7.66421329389623
2495,4.95757906193381,0.00000000438,0.0000000217,53.976,161.396,5.365,-7.66341127923491
1054,0.00341848250986444,0.00000641,0.0000000219,52.291,160.482,5.11,-7.65963961104117
2425,0.0144595344592142,0.00000153,0.0000000222,53.972,161.909,6.1,-7.65441205123996
2669,0.00472370766456167,0.00000471,0.0000000222,51.688,159.226,5.025,-7.65269359001482
2346,2.84904738307486,0.00000000788,0.0000000224,54.081,162.025,5.195,-7.64896506491934
2638,0.252656521960679,0.0000000898,0.0000000227,51.693,159.806,4.94,-7.64433483735659
2398,0.00229433147975469,0.0000099,0.0000000227,53.934,161.713,5.28,-7.64376545311478
2279,0.16730695063621,0.000000136,0.0000000228,53.875,161.582,5.11,-7.64259991066236
2489,0.107301437789365,0.000000215,0.000000023,53.827,161.46,5.365,-7.63784063971795
2337,0.756018981623163,0.0000000307,0.0000000232,54.119,161.879,5.025,-7.6339673003841
1040,0.100585848694168,0.000000231,0.0000000232,52.328,160.256,5.45,-7.63376304717372
2412,0.0537062810729214,0.000000433,0.0000000233,53.734,161.57,5.8,-7.63354556293014
1011,1.38427845970572,0.0000000177,0.0000000245,52.552,160.692,4.77,-7.61096448154831
1812,0.197522455273006,0.000000124,0.0000000246,52.509,160.363,4.77,-7.60964443108333
713,0.158986682852952,0.000000155,0.0000000247,56.8372,162.8089,5.62,-7.60694317877329
2653,0.0586721906039814,0.000000432,0.0000000253,51.506,159.418,5.4,-7.59613931149454
1026,0.903045208978945,0.0000000283,0.0000000256,52.194,160.15,4.94,-7.59206933840885
1032,0.0742629890368654,0.000000345,0.0000000256,52.31,160.003,5.28,-7.59197190053293
2399,0.38540950541873,0.0000000665,0.0000000256,53.734,161.57,5.8,-7.59125872054325
